City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
91,Marystown,CA,2022-06-17 01:44:45,47.1666,-55.1483,50.83,86,31,7.78,scattered clouds
92,Haines Junction,CA,2022-06-17 01:40:03,60.7522,-137.5108,71.55,28,97,3.44,overcast clouds
93,Kaeo,NZ,2022-06-17 01:47:54,-35.1,173.7833,65.32,79,100,4.05,overcast clouds
94,Dongsheng,CN,2022-06-17 01:47:54,39.8161,109.9776,86.65,11,100,15.48,overcast clouds
95,Umm Lajj,SA,2022-06-17 01:42:44,25.0213,37.2685,80.96,70,0,6.17,clear sky
96,Ambilobe,MG,2022-06-17 01:43:00,-13.2,49.05,68.23,93,81,2.68,light rain
97,Sao Filipe,CV,2022-06-17 01:36:29,14.8961,-24.4956,73.94,85,63,5.61,broken clouds
98,Katsuura,JP,2022-06-17 01:43:01,35.1333,140.3,73.42,85,100,15.79,overcast clouds
99,Auki,SB,2022-06-17 01:47:55,-8.7676,160.7034,84.47,67,13,3.18,few clouds
100,Severo-Kurilsk,RU,2022-06-17 01:36:31,50.6789,156.125,51.44,75,90,4.45,overcast clouds
101,Neuquen,AR,2022-06-17 01:43:22,-38.9516,-68.0591,53.49,30,89,18.41,overcast clouds
102,Sakakah,SA,2022-06-17 01:47:56,29.9697,40.2064,87.37,22,0,9.04,clear sky
103,Khatanga,RU,2022-06-17 01:39:31,71.9667,102.5,68.23,42,100,17.78,overcast clouds
104,Ponta Do Sol,PT,2022-06-17 01:40:01,32.6667,-17.1,70.43,80,21,3.38,few clouds
105,Tasiilaq,GL,2022-06-17 01:42:24,65.6145,-37.6368,35.76,98,100,1.12,light rain
106,Tepalcatepec,MX,2022-06-17 01:47:57,19.1833,-102.85,75.52,79,100,3.31,overcast clouds
107,Lebu,CL,2022-06-17 01:35:19,-37.6167,-73.65,50.25,83,94,5.73,overcast clouds
108,Mweka,CD,2022-06-17 01:47:58,-4.85,21.5667,68.05,73,48,1.25,scattered clouds
109,Visnes,NO,2022-06-17 01:47:58,59.3556,5.2242,53.65,94,75,8.05,broken clouds
110,Te Anau,NZ,2022-06-17 01:39:09,-45.4167,167.7167,46.45,83,12,0.74,few clouds
111,Pisco,PE,2022-06-17 01:43:52,-13.7,-76.2167,64.02,82,3,5.75,haze
112,Port Alfred,ZA,2022-06-17 01:38:33,-33.5906,26.891,54.0,60,44,12.24,scattered clouds
113,Port Elizabeth,ZA,2022-06-17 01:39:10,-33.918,25.5701,53.89,66,0,4.61,clear sky
114,Solnechnyy,RU,2022-06-17 01:42:42,50.7214,136.6319,63.37,71,100,5.66,overcast clouds
115,Dewas,IN,2022-06-17 01:47:59,22.9667,76.0667,78.98,68,97,12.37,overcast clouds
116,Kavaratti,IN,2022-06-17 01:38:33,10.5669,72.642,81.72,79,96,11.32,overcast clouds
117,Tadine,NC,2022-06-17 01:48:00,-21.55,167.8833,78.35,83,100,10.6,light rain
118,East London,ZA,2022-06-17 01:38:30,-33.0153,27.9116,53.82,55,76,9.8,broken clouds
119,Ribeira Grande,PT,2022-06-17 01:39:29,38.5167,-28.7,66.9,89,0,2.91,clear sky
120,Olga,RU,2022-06-17 01:48:00,43.7444,135.2892,67.6,65,37,6.29,scattered clouds
121,Itoman,JP,2022-06-17 01:44:59,26.1247,127.6694,82.42,89,75,17.27,light rain
122,Palora,EC,2022-06-17 01:48:01,-1.7,-77.9333,64.38,98,98,2.98,overcast clouds
123,Palmer,US,2022-06-17 01:43:47,42.1584,-72.3287,66.61,77,100,4.0,overcast clouds
124,Mangai,CD,2022-06-17 01:48:02,-4.05,19.5333,68.79,94,86,2.01,overcast clouds
125,Mtambile,TZ,2022-06-17 01:48:02,-5.3833,39.7,77.41,77,68,13.71,light rain
126,Puerto Baquerizo Moreno,EC,2022-06-17 01:42:27,-0.9,-89.6,71.11,88,70,13.85,broken clouds
127,Tiarei,PF,2022-06-17 01:48:03,-17.5333,-149.3333,82.42,74,34,18.1,scattered clouds
128,Tevaitoa,PF,2022-06-17 01:48:03,-16.7833,-151.5,79.3,76,14,14.79,light rain
129,Olafsvik,IS,2022-06-17 01:44:51,64.8945,-23.7142,48.97,79,100,11.12,overcast clouds
130,Turtas,RU,2022-06-17 01:48:04,58.9417,69.1325,60.67,58,33,6.8,scattered clouds
131,Vila Do Maio,CV,2022-06-17 01:48:04,15.1333,-23.2167,75.99,83,89,15.26,overcast clouds
132,Kudahuvadhoo,MV,2022-06-17 01:42:11,2.6708,72.8944,83.79,72,100,9.24,overcast clouds
133,Muisne,EC,2022-06-17 01:48:05,0.6,-80.0333,74.98,84,100,7.4,overcast clouds
134,Kasongo-Lunda,CD,2022-06-17 01:48:05,-6.4667,16.8167,66.81,58,25,0.69,scattered clouds
135,Maryville,US,2022-06-17 01:43:33,35.7565,-83.9705,88.0,66,20,10.36,few clouds
136,Villazon,BO,2022-06-17 01:45:42,-22.0866,-65.5942,41.18,18,92,14.16,overcast clouds
137,Staicele,LV,2022-06-17 01:48:06,57.8364,24.75,47.16,95,12,4.61,few clouds
138,Saint-Pierre,RE,2022-06-17 01:42:34,-21.3393,55.4781,69.48,64,0,8.05,clear sky
139,Ust-Ishim,RU,2022-06-17 01:48:07,57.6935,71.1665,61.74,59,66,8.88,broken clouds
140,Saint-Philippe,RE,2022-06-17 01:36:03,-21.3585,55.7679,69.39,75,5,7.7,clear sky
141,Husavik,IS,2022-06-17 01:48:07,66.0449,-17.3389,52.29,65,100,6.02,overcast clouds
142,Kalulushi,ZM,2022-06-17 01:48:08,-12.8378,28.0919,51.98,65,0,3.44,clear sky
143,Fomboni,KM,2022-06-17 01:48:08,-12.28,43.7425,79.45,65,35,11.59,light rain
144,Ruteng,ID,2022-06-17 01:48:09,-8.6136,120.4721,72.23,68,99,1.81,overcast clouds
145,Aswan,EG,2022-06-17 01:48:09,24.0934,32.907,85.3,26,0,9.22,clear sky
146,Neepawa,CA,2022-06-17 01:48:10,50.2289,-99.4664,72.0,85,98,7.0,overcast clouds
147,Balabac,PH,2022-06-17 01:39:14,7.9868,117.0645,85.77,68,99,9.15,overcast clouds
148,Ponta Delgada,PT,2022-06-17 01:39:52,37.7333,-25.6667,69.49,82,75,5.75,broken clouds
149,Yellowknife,CA,2022-06-17 01:38:17,62.456,-114.3525,59.56,55,75,5.75,broken clouds
150,Salinas,US,2022-06-17 01:48:10,36.6777,-121.6555,71.96,57,0,16.11,clear sky
151,Fuling,CN,2022-06-17 01:48:11,29.7022,107.3919,80.02,63,99,1.01,overcast clouds
152,Lere,NG,2022-06-17 01:48:11,10.387,8.5726,68.72,93,100,3.29,light rain
153,Marsa Matruh,EG,2022-06-17 01:47:35,31.3525,27.2453,71.8,78,40,5.75,scattered clouds
