City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
132,Kudahuvadhoo,MV,83.79,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
133,Muisne,EC,74.98,overcast clouds,0.6,-80.0333,Quinta Samay
135,Maryville,US,88.0,few clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
143,Fomboni,KM,79.45,light rain,-12.28,43.7425,Auberge les abou
144,Ruteng,ID,72.23,overcast clouds,-8.6136,120.4721,Hotel FX 72
145,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
146,Neepawa,CA,72.0,overcast clouds,50.2289,-99.4664,"Westway Inn Motel, Neepawa"
147,Balabac,PH,85.77,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
150,Salinas,US,71.96,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
151,Fuling,CN,80.02,overcast clouds,29.7022,107.3919,Yingbin Hostel
153,Marsa Matruh,EG,71.8,scattered clouds,31.3525,27.2453,Beau Site
156,La Ceiba,HN,76.82,broken clouds,15.7597,-86.7822,Hotel Art Deco Beach
160,Sitka,US,70.48,scattered clouds,57.0531,-135.33,Westmark Sitka
161,Pouebo,NC,81.14,overcast clouds,-20.4,164.5667,RIVÂT LODGE
162,Khandbari,NP,75.7,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
164,Teabo,MX,74.34,broken clouds,20.4,-89.2833,Comité Directivo Municipal del PAN de Teabo
166,Cayenne,GF,75.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
169,Labuan,MY,86.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
170,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
174,Inirida,CO,71.56,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
182,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
183,Atambua,ID,81.27,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
184,Hasaki,JP,77.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
189,Nishihara,JP,81.68,light rain,26.1842,127.7558,Minshuku Agaihama
195,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
197,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
200,Juchitlan,MX,72.45,overcast clouds,20.0833,-104.1167,La cabaña
203,Paicandu,BR,72.27,clear sky,-23.4575,-52.0486,Dallas Motel 4 (Paiçandu)
208,Ibra,OM,84.34,broken clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
